key	text	tooltip
#Loc PackedFile	1	text/db/extra_tomb_king_lords_character_skills__.loc
character_skills_localised_name_stephen_skill_tmb_tomb_king_mount_steed	Skeletal Steed	true
character_skills_localised_description_stephen_skill_tmb_tomb_king_mount_steed	Long-dead destriers, awakened to serve their Unliving masters far beyond death.	true
character_skills_localised_name_stephen_skill_tmb_tomb_king_mount_warsphinx	Khemrian Warsphinx	true
character_skills_localised_description_stephen_skill_tmb_tomb_king_mount_warsphinx	Giant leonine statues, almost impervious to harm; they wade through foes, crushing them like bothersome insects.	true
character_skills_localised_name_stephen_skill_tmb_tomb_king_mount_chariot	Skeleton Chariot	true
character_skills_localised_description_stephen_skill_tmb_tomb_king_mount_chariot	The pride of Nehekharan armies, impacting enemy lines with bone-shattering force and grinding the corpses beneath their heavy wheels.	true
character_skills_localised_name_stephen_skill_tmb_taint_of_nagash	Taint of Nagash	true
character_skills_localised_description_stephen_skill_tmb_taint_of_nagash	The taint of Nagash lingers. There's no escape.....	true
character_skills_localised_name_stephen_skill_tmb_tomb_king_blessed_blades	Blessed Blades	true
character_skills_localised_description_stephen_skill_tmb_tomb_king_blessed_blades	This blessed blade channels the will of its master, carving a deadly swathe of terror and destruction.	true
character_skills_localised_name_stephen_skill_tmb_tomb_king_desert_crown	Crown of the Desert	true
character_skills_localised_description_stephen_skill_tmb_tomb_king_desert_crown	Tomb Kings have ever reigned from their necropolis as they had always done, attempting to imitate the life they once knew and loved.	true
character_skills_localised_name_stephen_skill_tmb_tomb_king_ancient_shields	Royal Tomb Shield	true
character_skills_localised_description_stephen_skill_tmb_tomb_king_ancient_shields	These unliving Kings march into battle, forever protected by magical wards and incantations.	true
character_skills_localised_name_stephen_skill_tmb_tomb_king_hunger_power	Hunger for Power	true
character_skills_localised_description_stephen_skill_tmb_tomb_king_hunger_power	The lust for power strives this Lord onward. Greater power is promised...... for a price.	true
character_skills_localised_name_stephen_skill_tmb_tmb_king_innate_trait_1	King of Grief	true
character_skills_localised_description_stephen_skill_tmb_tmb_king_innate_trait_1	The desert bends to our will!	true
character_skills_localised_name_stephen_skill_tmb_tmb_king_innate_trait_2	King of Terror	true
character_skills_localised_description_stephen_skill_tmb_tmb_king_innate_trait_2	Tomb Kings ever reign from their necropolis. 	true
character_skills_localised_name_stephen_skill_tmb_tmb_king_innate_trait_3	King of Madness	true
character_skills_localised_description_stephen_skill_tmb_tmb_king_innate_trait_3	Countless Dynasties have failed, where this one shall thrive!	true
character_skills_localised_name_stephen_skill_tmb_tmb_king_innate_trait_4	King of Sacrament	true
character_skills_localised_description_stephen_skill_tmb_tmb_king_innate_trait_4	The taint of Nagash touches everything.	true
