key	text	tooltip
#Loc PackedFile;1;text/db/sda_tomb_kings_unit_description_short_texts__.loc		
unit_description_short_texts_text_xereus_tmb_inf_zmb	Zombies	true
unit_description_short_texts_text_xereus_tmb_inf_zmb_summon	Zombies	true
unit_description_short_texts_text_xereus_tmb_inf_grave_guard	Grave Guard	true
unit_description_short_texts_text_xereus_tmb_inf_grave_guard_great	Grave Guard Great Swords	true
unit_description_short_texts_text_xereus_tmb_mon_terrorgheist	Terrorgheist	true
unit_description_short_texts_text_xereus_tmb_mon_vargheist	Vargheists	true
unit_description_short_texts_text_xereus_tmb_mon_mourngul	Mournguls	true
unit_description_short_texts_text_xereus_tmb_inf_zmb_halberd	Zombie Halberdiers	true
unit_description_short_texts_text_xereus_tmb_mon_crypt_horror	Crypt Horrors	true
unit_description_short_texts_text_steve_ark_blk_coach	Black Coach	true
unit_description_short_texts_text_xereus_tmb_inf_cairn_wraith	Cairn Wraith	true
unit_description_short_texts_text_xereus_tmb_mon_rotting_leviathan	Rotting Leviathan	true
unit_description_short_texts_text_steve_ark_lahmian_lord	Lahmian Vampire Lord	true
unit_description_short_texts_text_xereus_tmb_inf_grave_guard_halberd	Grave Guard (Halberds)	true
unit_description_short_texts_text_xereus_tmb_veh_mortis_engine	Mortis Engine	true
unit_description_short_texts_text_steve_ark_tmb_liche_priest_vampire	Liche Priest (Vampires)	true
unit_description_short_texts_text_steve_ark_tmb_liche_priest_vampire_1	Liche Priest (Vampires)	true
unit_description_short_texts_text_xereus_tmb_inf_zmb_gunner_mob	Zombies (Pistols)	true
unit_description_short_texts_text_xereus_tmb_inf_zmb_handgunner_mob	Zombies (Handgunners)	true
unit_description_short_texts_text_xereus_tmb_mon_prometheans_gunnery_mob	Gunnery Promethians 	true
unit_description_short_texts_text_xereus_tmb_inf_nagashizzar_guard	This massive formation was the black armoured might of the fortress of Nagash. Arkhan ended their silent guardianship of Nagashizzar, ordering them out to form the centre of his army.	true
unit_description_short_texts_text_xereus_tmb_mon_zombie_dragon	Zombie Dragons are the reanimated corpses of long-dead Dragons that were raised from their resting place within the Plain of Bones by the use of powerful Dark Magic.	true
